,CO_CNES,NO_FANTASIA,MUNICIPIO
1002,9360093,UBS MALVINAS IV,CAMPINA GRANDE
1003,9499474,HUAC,CAMPINA GRANDE
1004,9488715,COMPLEXO REGULADOR DE CAMPINA GRANDE,CAMPINA GRANDE
1005,2363232,UEPB LABORATORIO DE ANALISES CLINICAS,CAMPINA GRANDE
1006,2612828,HEMOCENTRO REGIONAL DE CAMPINA GRANDE,CAMPINA GRANDE
1007,3024148,2 SECAO DE CAMBATE A INCENDIO AA32,CAMPINA GRANDE
1008,2362813,GERENCIA DE VIGILANCIA SANITARIA GEVISA,CAMPINA GRANDE
1009,2362201,POLICLINICA LUZIA COSME DANTAS,CAMPINA GRANDE
1010,2362252,CENTRO DE SAUDE FRANCISCO PINTO,CAMPINA GRANDE
1011,2362511,COLEGIO ESTADUAL SANTO ANTONIO,CAMPINA GRANDE
1012,2362619,CER IV CENTRO ESP EM REABILITACAO CAMPINA GRANDE,CAMPINA GRANDE
1013,2612704,BANCO DE LEITE HUMANO,CAMPINA GRANDE
1014,2362856,HOSPITAL REGIONAL DE EMERG TRAUMA DOM LUIZ GONZAGA FERNANDES,CAMPINA GRANDE
1015,2676060,HOSPITAL UNIVERSITARIO ALCIDES CARNEIROUFCG,CAMPINA GRANDE
1016,2595419,UBS RAIMUNDO CARNEIRO,CAMPINA GRANDE
1017,2595451,UBS CRISOSTOMO LUCENA,CAMPINA GRANDE
1018,3886689,SECRETARIA DE SAUDE DE CAMPINA GRANDE,CAMPINA GRANDE
1019,2362317,UBS ADRIANA BEZERRA CARVALHO,CAMPINA GRANDE
1020,2362368,POSTO DE SAUDE EDUARDO CORREIA LIMA,CAMPINA GRANDE
1021,2362406,UBS ARGEMIRO DE FIGUEIREDO,CAMPINA GRANDE
1022,2362422,GRUPO ESCOLAR SOLON DE LUCENA,CAMPINA GRANDE
1023,2362449,GRUPO ESCOLAR RAUL CORDULA,CAMPINA GRANDE
1024,2362465,GRUPO ESCOLAR LYONS PRATA,CAMPINA GRANDE
1025,2362481,GRUPO ESCOLAR LUZIA DANTAS,CAMPINA GRANDE
1026,2362732,UBS JARDIM CONTINENTAL,CAMPINA GRANDE
1027,2792761,UBS SERRA DA BORBOREMA,CAMPINA GRANDE
1028,2362651,UBS MUTIRAO,CAMPINA GRANDE
1029,2362767,UBS NOSSA SENHORA APARECIDA,CAMPINA GRANDE
1030,2792788,UBS PAUS BRANCOS,CAMPINA GRANDE
1031,5485754,UBS RESSURREICAO,CAMPINA GRANDE
1032,2362759,UBS BENJAMIM B DA SILVA,CAMPINA GRANDE
1033,2362392,UBS JOAO RIQUE,CAMPINA GRANDE
1034,2362686,UBS BAIRRO DAS CIDADES I,CAMPINA GRANDE
1035,2595435,UBS JOSE AURINO DE BARROS FILHO,CAMPINA GRANDE
1036,2362708,UBS TOTA AGRA,CAMPINA GRANDE
1037,2792745,UBS ESTREITO,CAMPINA GRANDE
1038,2362260,UNIDADE MISTA DE GALANTE,CAMPINA GRANDE
1039,2363062,UEPB CLINICA DE ODONTOLOGIA,CAMPINA GRANDE
1040,2363259,UEPB CLINICA DE FISIOTERAPIA,CAMPINA GRANDE
1041,6087655,CAPS DE GALANTE,CAMPINA GRANDE
1042,5968976,UBS JARDIM QUARENTA,CAMPINA GRANDE
1043,2362236,CENTRO DE SAUDE DA PALMEIRA,CAMPINA GRANDE
1044,5053242,UBS MONTE SANTO,CAMPINA GRANDE
1045,5116449,UBS PLINIO LEMOS,CAMPINA GRANDE
1046,5116465,UBS ANTONIO MESQUITA DE ALMEIDA,CAMPINA GRANDE
1047,6415407,CLINICA ESCOLA DA FCM,CAMPINA GRANDE
1048,7366582,LABORATORIO DE ANALISE DE AGUA,CAMPINA GRANDE
1049,7182686,SERVICO DE ASSISTENCIA ESPECIALIZADA SAE ADT,CAMPINA GRANDE
1050,2363070,HOSPITAL MUNICIPAL PEDRO I,CAMPINA GRANDE
1051,6181333,CAPS I DE SAO JOSE DA MATA,CAMPINA GRANDE
1052,5932416,UBS ROMUALDO BRITO DE FIGUEIREDO,CAMPINA GRANDE
1053,2792869,UBS TAMBOR II,CAMPINA GRANDE
1054,2792877,UBS VELAME,CAMPINA GRANDE
1055,6426492,SECRETARIA MUNICIPAL DE SAUDE DE CAPIM,CAPIM
1056,2606275,UNIDADE DE SAUDE ANILDA SOUTO ROCHA,CAPIM
1057,6872123,VIGILANCIA SANITARIA DE CAPIM,CAPIM
1058,6513425,LABORATORIO DE PROTESES DE CAPIM,CAPIM
1059,7615841,UNIDADE BASICA DE SAUDE JOAO BATISTA ROCHA,CAPIM
1060,7674015,CAPS MARIZETE DA SILVA DUTRA DE MELO,CAPIM
1061,2592924,UBSF SEBASTIANA FRANCISCA DOS SANTOS,CAPIM
1062,9876812,PRONTO ATENDIMENTO IRENE CORREIA DO NASCIMENTO,CAPIM
1063,6432913,SECRETARIA MUNICIPAL DE SAUDE,CARAUBAS
1064,9707093,CENTRO DE SAUDE TEREZA VASCONCELOS JORDAO,CARAUBAS
1065,9420231,NUCLEO DE ATENCAO A SAUDE DA FAMILIA NASF III,CARAUBAS
1066,2363526,UBSF SEVERINO VIRGINIO DA SILVA,CARAUBAS
1067,6454291,UBSF BARREIRAS ESF II,CARAUBAS
1068,6667651,VIGILANCIA SANITARIA DE CARAUBAS,CARAUBAS
1069,2321939,CENTRO DE SAUDE DE GARRAFEIRA,CARRAPATEIRA
1070,7549806,UNIDADE DE VIGILANCIA SANITARIA,CARRAPATEIRA
1071,2321947,UNIDADE DE SAUDE DA FAMILIA DE CARRAPATEIRA,CARRAPATEIRA
1072,6338372,SECRETARIA DE SAUDE DE CARRAPATEIRA,CARRAPATEIRA
1073,9916059,PSF IV MANOEL BENTO DA SILVA,CASSERENGUE
1074,3470393,UNIDADE BASICA DE SAUDEPSFPITSIIICINCO LAGOAS,CASSERENGUE
1075,6382290,EMILIA LOPES DA SILVA,CASSERENGUE
1076,3470385,UNIDADE BASICA DE SAUDE DO PSFPITSIICABECUDO,CASSERENGUE
1077,7667256,ACADEMIA DA SAUDE CASSERENGUE,CASSERENGUE
1078,2592991,POSTO DE SAUDE DE CASSERENGUE,CASSERENGUE
1079,6425488,SECRETARIA MUNICIPAL DE SAUDE,CASSERENGUE
1080,7173970,NASF DE CASSERENGUE,CASSERENGUE
1081,7924364,POSTO DE SAUDE DE ITAJUBATIBA,CATINGUEIRA
1082,2605376,POSTO DE SAUDE ITAJUBATIBA,CATINGUEIRA
1083,2321173,USF ALBINO FELIX,CATINGUEIRA
1084,6900275,SERVICO DE ATENDIMENTO MOVEL DE URGENCIA SAMU 192,CATINGUEIRA
1085,7855001,POLO DE ACADEMIA DA SAUDE DE CATINGUEIRA,CATINGUEIRA
1086,9711910,FARMACIA BASICA DE CATINGUEIRA,CATINGUEIRA
1087,7432933,CENTRO DE ESPECIALIDADES DE CATINGUEIRA,CATINGUEIRA
1088,7433050,AMIGO DO PEITO DE CATINGUEIRA,CATINGUEIRA
1089,9619682,LABORATORIO DE PROTESE DENTARIA DE CATINGUEIRA,CATINGUEIRA
1090,6914381,VIGILANCIA SANITARIA DE CATINGUEIRA,CATINGUEIRA
1091,2321181,USF INACIO LUIZ MOTA,CATINGUEIRA
1092,6431607,SECRETARIA MUNICIPAL DE SAUDE DE CATINGUEIRA,CATINGUEIRA
1093,6430260,CENTRAL DE REGULACAO DE CATINGUEIRA,CATINGUEIRA
1094,2321165,UNIDADE MISTA MARIA LEANDRO,CATINGUEIRA
1095,2606321,HEMONUCLEO DE CATOLE DO ROCHA,CATOLE DO ROCHA
1096,2603799,HOSPITAL MUNICIPAL DA CRIANCA ERMINA EVANGELISTA,CATOLE DO ROCHA
1097,2606291,UBS FRANCISCO MARTINS DA SILVA,CATOLE DO ROCHA
1098,2606364,CENTRO DE ESPECIALIDADES DR MARIA DALUZ MARQUES BARRETO,CATOLE DO ROCHA
1099,3092135,UBS ADALGISA BARRETO FORTE,CATOLE DO ROCHA
1100,3158497,UBS DR EDMIR XAVIER DA SILVA,CATOLE DO ROCHA
1101,3800776,UBS DR ANTONIO BENJAMIN FILHO,CATOLE DO ROCHA
1102,2606372,UBS MANOEL CIPRIANO DE SA,CATOLE DO ROCHA
1103,6411711,CAPS I DUDE JOSE ALVES DINIZ,CATOLE DO ROCHA
1104,6342663,CENTRAL DE REGULACAO,CATOLE DO ROCHA
1105,2606348,UBS ANGELINA MARIZ MAIA,CATOLE DO ROCHA
1106,7325819,PACS,CATOLE DO ROCHA
1107,7325827,NASF,CATOLE DO ROCHA
1108,7325835,ACADEMIA DE SAUDE,CATOLE DO ROCHA
1109,3092143,UBS JOSE FIRMO DA SILVA,CATOLE DO ROCHA
1110,3092178,UBS DR AMERICO MAIA DE VASCONCELOS,CATOLE DO ROCHA
1111,9801987,ACADEMIA DE SAUDE DESPORTISTA JOSIVAN FERNANDES SUASSUNA,CATOLE DO ROCHA
1112,3091864,UBS TANCREDO NEVES I,CATOLE DO ROCHA
1113,3091872,UBS CAIC,CATOLE DO ROCHA
1114,9377506,CER II VITORIA PEREIRA OLIVEIRA,CATOLE DO ROCHA
1115,9565965,CENTRAL DE DISPENSACAO E DIST DE MEDICAMENTOS E INSUMOS,CATOLE DO ROCHA
1116,9974954,ACADEMIA DE SAUDE SEVERINO DE PAULA MAIA,CATOLE DO ROCHA
1117,2356635,UBS JOSE RAFAEL SOBRINHO,CATOLE DO ROCHA
1118,9100024,UBS TANCREDO NEVES II,CATOLE DO ROCHA
1119,2592460,HOSPITAL REGIONAL DR AMERICO MAIA DE VASCONCELOS,CATOLE DO ROCHA
1120,2606356,UBS DR BENEDITO VIEIRA DA SILVA,CATOLE DO ROCHA
1121,6400086,SECRETARIA MUNICIPAL DE SAUDE,CATOLE DO ROCHA
1122,6158420,VIGILANCIA SANITARIA,CATOLE DO ROCHA
1123,3800431,UBS ELIOMAR ARAUJO RIBEIRO,CATOLE DO ROCHA
1124,7297351,SAMU USB,CATOLE DO ROCHA
1125,6798470,SAMU USA,CATOLE DO ROCHA
1126,2607115,UBSF SEVERINO AVELINO BARBOSA,CATURITE
1127,9022244,FARMACIA BASICA MUNICIPAL,CATURITE
1128,6402348,LABORATORIO MUNICIPAL DE ANALISES CLINICAS,CATURITE
1129,6402356,POLICLINICA MUNICIPAL,CATURITE
1130,2607085,DIVISAO DE VIGILANCIA EM SAUDE,CATURITE
1131,2605953,UBSF MANOEL BARBOSA DE SOUSA NETO,CATURITE
1132,6938000,SAMU UNIDADE DE SUPORTE BASICO,CATURITE
1133,6414656,SECRETARIA MUNICIPAL DE SAUDE,CATURITE
1134,7375271,NASF,CATURITE
1135,7402430,UBSF JOSE AIRTON DE MELO,CATURITE
1136,7734816,FARMACIA BASICA DE CONCEICAO,CONCEICAO
1137,7657846,LRPD DE CONCEICAO PB,CONCEICAO
1138,9302670,ACADEMIA DA SAUDE DE CONCEICAO PB,CONCEICAO
1139,9302581,CAPS INFANTO JUVENIL REGIONAL TERESINHA L MARTILDES,CONCEICAO
1140,9926720,CADEIA PUBLICA DE CONCEICAO SAUDE PRISIONAL,CONCEICAO
1141,2701677,CENTRO DE ESPECIALIDADES MEDICAS DE CONCEICAO,CONCEICAO
1142,6974597,SAMU 192 USB CONCEICAO PB,CONCEICAO
1143,6775055,SECRETARIA MUNICIPAL DE SAUDE DE CONCEICAO,CONCEICAO
1144,7636342,PSF CENTRAL,CONCEICAO
1145,3932362,CENTRO DE ATENCAO PSICOSSOCIAL SINARA MAGALDY A L ARAUJO,CONCEICAO
1146,2603748,HOSPITAL E MATERNIDADE CACULA LEITE,CONCEICAO
1147,7289995,NASF I CONCEICAO PB,CONCEICAO
1148,7258828,SAMU 192 USA DE CONCEICAO PB,CONCEICAO
1149,3539709,UNID BAS PSF MONTEVIDEO,CONCEICAO
1150,6452442,CENTRAL DE REGULACAO,CONCEICAO
1151,3973409,CENTRO DE ESPECIALIDADES ODONTOLOGICAS JOSE MORONI FRADE,CONCEICAO
1152,2605058,UNID BAS PSF N S DE FATIMA,CONCEICAO
1153,2604930,UNID BAS PSF SAO JOSE,CONCEICAO
1154,2605325,UNID DO PSF DE MATA GRANDE,CONCEICAO
1155,3539660,UNID BAS PSF CABACAS DOS MARTINSSACO,CONCEICAO
1156,6610293,TFD INTERMUNICIPAL DE CONCEICAO,CONCEICAO
1157,7496036,AMIGOS DO PEITO DE CONCEICAO,CONCEICAO
1158,2605066,UNID BAS PSF SAO GERALDO,CONCEICAO
1159,3539644,UNID BAS PSF NOVO HORIZONTE,CONCEICAO
1160,2603721,CENTRO DE SAUDE DE CONCEICAO,CONCEICAO
1161,6755879,COORD DE VIGILANCIAS SANITARIA AMBIENTAL EPIDEMIOLOGICA,CONCEICAO
1162,2321211,USF II OZORIO QUEIROGA DE ASSIS,CONDADO
1163,6589960,POSTO DE SAUDE SEVERINA ANA LINHARES,CONDADO
1164,6669085,LABORATORIO REGIONAL DE PROTESE DENTARIA DE CONDADO,CONDADO
1165,7717458,CENTRO DE VIGILANCIA EM SAUDE,CONDADO
1166,7717466,CENTRO DE ESPECIALIDADE EM SAUDE,CONDADO
1167,7717474,NASF II CONDADO,CONDADO
1168,2321203,USF I MARIA DALVA RAMALHO,CONDADO
1169,2341174,USF III ANA BARBOSA DOS SANTOS,CONDADO
1170,9939237,ACADEMIA DA SAUDE DE CONDADO,CONDADO
1171,7446853,CENTRO DE ESPECIALIDADES ODONTOLOGICAS DE CONDADO CEO I,CONDADO
1172,7481411,AMIGO DO PEITO DE CONDADO PB,CONDADO
1173,7140282,SAMU 192 CONDADO,CONDADO
1174,7231636,CENTRAL DE REGULACAO E MARCACAO DE EXAMES DE CONDADO,CONDADO
1175,6394817,SECRETARIA MUNICIPAL DE SAUDE DE CONDADO,CONDADO
1176,6702902,LABORATORIO DE ANALISES CLINICAS MARIA DO CARMO T SANTOS,CONDADO
1177,9154345,SERVICO DE ATENDIMENTO MOVEL DE URGENCIA SAMU 192 CONDE,CONDE
1178,2341131,UNIDADE DE SAUDE FAMILIA POUSADA DO CONDE,CONDE
1179,9256105,CENTRAL DE REGULACAO MUNICIPAL CONDE PB,CONDE
1180,6203442,CENTRO DE ATENCAO PSICOSSOCIAL CAPS I,CONDE
1181,6220274,UNIDADE DE SAUDE DA FAMILIA CARAPIBUS,CONDE
1182,6379125,LABORATORIO DE ANALISES MUNICIPAL DE CONDE,CONDE
1183,5148723,UNIDADE SAUDE DA FAMILIA NOSSA S DAS NEVES,CONDE
1184,6372376,SECRETARIA MUNICIPAL DE SAUDE,CONDE
1185,7322143,NUCLEO DE APOIO A SAUDE DA FAMILIA,CONDE
1186,6295479,UNIDADE DE VIGILANCIA EPIDEMIOLOGICA,CONDE
1187,2341158,UNIDADE DE SAUDE DA FAMILIA N S DA CONCEICAO,CONDE
1188,5634679,UNIDADE DE VIGILANCIA SANITARIA CONDE,CONDE
1189,2342855,UNIDADE DE SAUDE DA FAMILIA DE MITUACU,CONDE
1190,2592630,UNIDADE DE SAUDE DA FAMILIA CENTRO,CONDE
1191,2342723,CENTRO MUNICIPAL DE SAUDE DR JARBAS MARIBONDO VINAGRE,CONDE
1192,2343134,UNIDADE DE SAUDE DA FAMILIA DE MATA DA CHICA,CONDE
1193,2592649,UNIDADE DE SAUDE DA FAMILIA DE JACUMA,CONDE
1194,2592657,UNIDADE DE SAUDE DA FAMILIA DE GURUGI,CONDE
1195,5925207,CENTRO DE REABILITACAO ANTONIO DE SOUZA MARANHAO,CONDE
1196,5887402,CENTRO DE ESPECIALIDADE ODONTOLOGICA DE CONDE,CONDE
1197,7019580,LABORATORIO MUNICIPAL DE ANALISES CLINICAS,CONGO
1198,9139656,ACADEMIA DE SAUDE CONGO,CONGO
1199,9701087,CENTRO DE ATENCAO PSICOSSOCIAL CAPS I,CONGO
1200,6379346,SECRETARIA MUNICIPAL DE SAUDE,CONGO
1201,2357046,CENTRO MUNICIPAL DE SAUDE,CONGO
1202,9390839,FARMACIA BASICA MUNCIPAL,CONGO
1203,9637532,UNIDADE ANCORA AGUIDA BARBOSA RODRIGUES,CONGO
1204,2363313,UNIDADE BASICA SAUDE DA FAMILIA I CONGO,CONGO
1205,2605546,UNIDADE DE SAUDE NEISSA QUIRINO DANTAS,CONGO
1206,6588131,CLINICA DE FISIOTERAPIA DO CONGO,CONGO
1207,9117520,CENTRO DE ESPECIALIDADES ODONTOLOGICO CEO I,CONGO
1208,2363364,UNIDADE BASICA SAUDE DA FAMILIA II CONGO,CONGO
1209,2704277,MINI POSTO DO CARMO,CONGO
1210,6379397,VIGILANCIA SANITARIA MUNICIPAL,CONGO
1211,7411510,NUCLEO DE APOIO A SAUDE DA FAMILIA,CONGO
1212,9219226,FARMACIA BASICA DE COREMAS,COREMAS
1213,5178479,CENTRO DE ATENCAO PSICOSSOCIAL CAPS I,COREMAS
1214,9172343,LABORATORIO MUNICIPAL DE ANALISES CLINICAS DE COREMAS,COREMAS
1215,3356329,UNIDADE DE SAUDE DA FAMILIA PSF I,COREMAS
1216,9512039,POLO SIMILAR DE ACADEMIA DA SAUDE,COREMAS
1217,6445608,CENTRAL DE REGULACAO DE COREMAS,COREMAS
1218,3356345,UNIDADE DE SAUDE DA FAMILIA PSF III,COREMAS
1219,3356353,UNIDADE BASICA DE SAUDE POMBALZINHO PSF IV,COREMAS
1220,7293909,SAMU COREMAS USB 06,COREMAS
1221,6363083,CENTRO DE ESPECIALIDADES ODONTOLOGICAS,COREMAS
1222,6445586,SECRETARIA MUNICIPAL DE SAUDE,COREMAS
1223,9154337,POLO DE ACADEMIA DE SAUDE DO CABO BRANCO,COREMAS
1224,5730171,RESIDENCIA TERAPEUTICA DE COREMAS,COREMAS
1225,2604582,POLICLINICA FRANCISCA SILVA DE ANDRADE,COREMAS
1226,6362974,NUCLEO DE APOIO DE SAUDE DA FAMILIA NASF,COREMAS
1227,2592363,HOSPITAL ESTEVAM MARINHO,COREMAS
1228,6765033,UNIDADE DE SAUDE DA FAMILIA MAE DAGUA PSF VII,COREMAS
1229,3356337,UNIDADE DE SAUDE DA FAMILIA PSF II,COREMAS
1230,3356388,UNIDADE BASICA DE SAUDE CRUZ DA TEREZA PSF V,COREMAS
1231,3356396,UNIDADE DE SAUDE DA FAMILIA SANGRADOURO PSF VI,COREMAS
1232,7192150,VIGILANCIA SANITARIA,COREMAS
1233,6786626,SAMU COREMAS USA 04,COREMAS
1234,9417311,VIGILANCIA SANITARIA MUNICIPAL,COXIXOLA
1235,2363534,UNIDADE BASICA DE SAUDE CICERO ZECA,COXIXOLA
1236,6343287,LABORATORIO DE ANALISES CLINICA CICERO ZECA,COXIXOLA
1237,6425372,SECRETARIA MUNICIPAL DE SAUDE DE COXIXOLA,COXIXOLA
1238,6746160,COORDENACAO DE VIG SANITARIA MUNICIPAL DE CRUZ DO E SANTO,CRUZ DO ESPIRITO SANTO
1239,6260713,LABORATORIO DE ANALISES CLINICAS DE CRUZ DO ESPIRITO SANTO,CRUZ DO ESPIRITO SANTO
1240,6413374,SECRETARIA MUNICIPAL DE SAUDE,CRUZ DO ESPIRITO SANTO
1241,6593232,USF BARBARA STERFANNY,CRUZ DO ESPIRITO SANTO
1242,6482694,LABORATORIO REGIONAL DE PROTESE DENTARIA DE CRUZ DO E SANTO,CRUZ DO ESPIRITO SANTO
1243,2341549,UNIDADE DE SAUDE DA FAMILIA ALBERTO BATISTA GOMES,CRUZ DO ESPIRITO SANTO
1244,2357232,UNIDADE DE SAUDE DA FAMILIA DE MASSANGANA I,CRUZ DO ESPIRITO SANTO
1245,2592614,UNIDADE DE SAUDE DA FAMILIA DE MASSANGANA III,CRUZ DO ESPIRITO SANTO
1246,2356821,UNIDADE DE SAUDE DA FAMILIA JAQUES,CRUZ DO ESPIRITO SANTO
1247,2592622,UNIDADE DE SAUDE DA FAMILIA JULIA PAIVA,CRUZ DO ESPIRITO SANTO
1248,7472099,NUCLEO DE APOIO A SAUDE DA FAMILIA NASF I,CRUZ DO ESPIRITO SANTO
1249,6789390,POLICLINICA MUNICIPAL FELIPE KUMAMOTO,CRUZ DO ESPIRITO SANTO
1250,6994881,UNIDADE DE VIGILANCIA EM SAUDE,CUBATI
1251,4015665,UBSF II JOSE GALDINO,CUBATI
1252,7488777,LABORATORIO DE PROTESES DENTARIAS,CUBATI
1253,5371260,UBSF III ANTONIO BATISTA DA ROCHA,CUBATI
1254,2343177,HOSPITAL MUNICIPAL MARIA LIDIA GOMES,CUBATI
1255,2364263,CENTRO DE ATENCAO A SAUDE,CUBATI
1256,71110,UNIDADE BASICA DE SAUDE DA FAMILIA IV,CUBATI
1257,4015673,UBSF I LUIZA MEDEIROS,CUBATI
1258,2364255,UNIDADE DE SAUDE DA FAMILIA PSF,CUBATI
1259,4015657,FARMACIA BASICA MUNICIPAL,CUBATI
1260,6415318,SECRETARIA MUNICIPAL DE SAUDE,CUBATI
1261,7418825,NASF,CUBATI
1262,7927797,UPA 24H UNIDADE DE PRONTO ATENDIMENTO CUITE,CUITE
1263,9293965,ACADEMIA DE SAUDE DE CUITE,CUITE
1264,6408206,CENTRO DE ESPECIALIDADE ODONTOLOGICA TIPO I,CUITE
1265,2342529,UBSF ABILIO CHACON FILHO,CUITE
1266,7844123,CLINICA DE ESPECIALIDADE EM SAUDE SEVERINA CECI DOS SANTOS,CUITE
1267,6445640,LABORATORIO DE ENTOMOLOGIA E ANALISE DE AGUA MUNICIPAL,CUITE
1268,6889395,ACADEMIA DE SAUDE DE CUITE,CUITE
1269,6408176,LABORATORIO REGIONAL DE PROTESE DENTARIA I,CUITE
1270,6411568,SECRETARIA MUNICIPAL DE SAUDE,CUITE
1271,7844166,CONSORCIO INTERMUNICIPAL DE SAUDE DO CURIMATAU E SERIDO PB,CUITE
1272,6992196,SAMU 192 BASE DESCENTRALIZADA CUITE PB USA,CUITE
1273,3060284,UBSF RAIMUNDA DOMIGOS DE MOURA,CUITE
1274,2342553,UBSF SERRA DO BOMBOCADINHO,CUITE
1275,6367690,NASF 1,CUITE
1276,9679057,CAPS INFANTIL DE CUITE,CUITE
1277,2342545,UBSF CATOLE,CUITE
1278,7702027,CENTRO ESPECIALIZADO EM REABILITACAO DE CUITE,CUITE
1279,2342618,UBSF DIOMEDES LUCAS CARVALHO,CUITE
1280,5033853,CENTRO DE DIAGNOSTICO E TRAT CANCER DO COLO DO UTERO E MAMA,CUITE
1281,3060292,DEPARTAMENTO DE VIGILANCIA SANITARIA,CUITE
1282,6930301,SAMU 192 BASE DESCENTRALIZADA CUITE PB USB,CUITE
1283,2342537,UBSF MELO,CUITE
1284,6426786,CTF CENTRO DE TRATAMENTO DO FUMANTE,CUITE
1285,6538096,UBSF ASSENTAMENTO RETIRO E BATENTES,CUITE
1286,6409490,CENTRO DE ATENCAO PSICOSSOCIAL CAPS I,CUITE
1287,2342561,UBSF EZEQUIAS VENANCIO DOS SANTOS,CUITE
1288,2605740,UBSF LUIZA DANTAS DE MEDEIROS,CUITE
1289,2342642,HOSPITAL MUNICIPAL DE CUITE,CUITE
1290,9303928,UNIDADE ANCORA DO PSF II MALHADA,CUITEGI
1291,7883943,ACADEMIA DE SAUDE CUITEGI,CUITEGI
1292,6481671,NUCLEO DE APOIO SAUDE DA FAMILIA NASF2,CUITEGI
1293,6481604,LABORATORIO DE PROTESE DENTARIA CUITEGI,CUITEGI
1294,3195023,UBSAUDE DE SAUDE PSF III CUITEGI,CUITEGI
1295,9954309,POLICLINICA DE SAUDE VIVER BEM,CUITEGI
1296,2608332,UNIDADE ANCORA DO PSF II CUITEGI CHA BOA ESPERANCA,CUITEGI
1297,2608359,POSTO SAUDE PSF II CUITEGI,CUITEGI
1298,9700951,FARMACIA ANTENCAO BASICA DE SAUDE,CUITEGI
1299,6429750,SECRETARIA MUNICIPAL DE SAUDE DE CUITEGI,CUITEGI
1300,2603578,CENTRO DE SAUDE DE CUITEGI UNIDADE BASICA,CUITEGI
1301,2608340,UNID DE SAUDE DE CUITEGI PSF I,CUITEGI
1302,2608367,PSAUDE PALMEIRA UND ANCORA DO PSF I CUITEGI,CUITEGI
1303,6426522,SECRETARIA MUNICPAL DE SAUDE,CUITE DE MAMANGUAPE
1304,7766041,CUITE DE MAMANGUAPE NASF,CUITE DE MAMANGUAPE
1305,9388958,ACADEMIA DE SAUDE DE CUITE DE MAMANGUAPE,CUITE DE MAMANGUAPE
1306,3868508,CENTRO DE SAUDE MUNICIPAL N S CONCEICAO PSF I,CUITE DE MAMANGUAPE
1307,7813023,VIGILANCIA EM SAUDE DE CUITE DE MAMANGUAPE,CUITE DE MAMANGUAPE
1308,3022072,CENTRO DE SAUDE UNIDADE BASICA DE SAUDE LUZIVALDA COELHO,CUITE DE MAMANGUAPE
1309,2592851,CENTRO DE ESPECIALIDADES SEBASTIANA DE SOUZA CABRAL,CUITE DE MAMANGUAPE
1310,9426337,FARMACIA BASICA MUNICIPAL DE CUITE DE MAMANGUAPE,CUITE DE MAMANGUAPE
1311,2592878,CENTRO DE SAUDE CIRIACO BISPO DA COSTA USF II,CUITE DE MAMANGUAPE
1312,2613077,POSTO DE SAUDE DE OLHO DAGUA,CURRAL DE CIMA
1313,2592681,UNIDADE DE SAUDE DA FAMILIA ANGELO BATISTA,CURRAL DE CIMA
1314,2592673,UNIDADE DE SAUDE DA FAMILIA ESTACADA,CURRAL DE CIMA
1315,6426468,SECRETARIA MUNICIPAL DE SAUDE,CURRAL DE CIMA
1316,2613085,UNIDADE SANITARIA DE TORROES,CURRAL DE CIMA
1317,2603659,POSTO DE SAUDE DE CAMPINAS,CURRAL DE CIMA
1318,2603675,POSTO DE SAUDE PEDRA FURADA,CURRAL DE CIMA
1319,2613093,UNIDADE SANITARIA DE LARANJEIRAS,CURRAL DE CIMA
1320,6654568,VIGILANCIA SANITARIA DE CURRAL DE CIMA,CURRAL DE CIMA
1321,2592703,POSTO DE SAUDE OLHO DAGUA,CURRAL DE CIMA
1322,2603667,POSTO DE SAUDE DE LARANGEIRAS,CURRAL DE CIMA
1323,2613174,POSTO DE SAUDE ACUDE DO MATO,CURRAL DE CIMA
1324,2342588,UNIDADE DE SAUDE DA FAMILIA TORROES,CURRAL DE CIMA
1325,6790860,LABORATORIO DE ANALISES CLINICAS,CURRAL DE CIMA
1326,2604590,UNIDADE MISTA DE CURRAL VELHO,CURRAL VELHO
1327,6427480,NASF 3 CURRAL VELHO,CURRAL VELHO
1328,7314043,SECRETARIA MUNICIPAL DE SAUDE CURRAL VELHO REGULACAO TFD,CURRAL VELHO
1329,7527292,ACADEMIA DA SAUDE DE DAMIAO,DAMIAO
1330,6578411,UNIDADE DE VIGILANCIA EM SAUDE DE DAMIAO,DAMIAO
1331,6576729,UNIDADE DE ATENDIMENTO ESPECIALIZADO DE DAMIAO,DAMIAO
1332,6411282,SECRETARIA MUNICIPAL DE SAUDE DE DAMIAO,DAMIAO
1333,2757818,UBSF MARIA ANA DO ESPIRITO SANTO,DAMIAO
1334,9764585,UBSF VIRACAO,DAMIAO
1335,2364425,UBS FLORENTINA HONORATO DA COSTA,DAMIAO
1336,7346425,LABORATORIO REGIONAL DE PROTESE DENTARIA,DAMIAO
1337,9221921,COMPLEXO DE SAUDE CARLOS ALBERTO MACHADO,DESTERRO
1338,9251731,CAPS DE DESTERRO,DESTERRO
1339,9207198,ACADEMIA DA SAUDE DE DESTERRO,DESTERRO
1340,6709761,LABORATORIO DE ANALISES CLINICAS DE DESTERRO,DESTERRO
1341,6408915,SECRETARIA MUNICIPAL DE SAUDE DE DESTERRO SEMUSD,DESTERRO
1342,6682960,CONSULTORIO DE FISIOTERAPIA GUSTAVO LUIZ NETO,DESTERRO
1343,2321424,USF JANIO HELDER DA SILVA,DESTERRO
1344,2757974,USF RAIMUNDA CORDEIRO DE MORAIS,DESTERRO
